neighbourhood,total_population,age_mean,age_median,household_size,income_mean,income_median,over_100k_pct,lowincome_pct,unemployment,income_over30_pct,shelter_median,shelter_mean,dwelling_median,dwelling_mean,subsidized_pct
Arbutus-Ridge,15295,44.6,46.2,2.4,62675,30929,14.12151067,24.4,6.6,39,1316,2241,2505285,2500033,9.3
Downtown,62030,40.6,37.1,1.7,63251,41858,16.01715458,23.8,5.6,36.6,1675,1880,697128,941493,19
Dunbar-Southlands,21425,41.1,44.1,2.8,78117,40463,21.06051528,15.9,6.2,28.7,1255,2324,3004627,3026785,3.7
Fairview,33620,43.4,40.2,1.7,61627,46940,13.84252234,14.7,4.6,23.5,1238,1497,648593,761230,9.6
Grandview-Woodland,29175,40.2,38.1,1.9,42896,32438,6.860625123,20.5,5.3,22.3,1323,1555,880109,899002,22.3
Hastings-Sunrise,34575,42.3,42.1,2.7,38258,27255,5.295566502,16.9,5.9,22.6,896,1477,1249900,1266054,17.4
Kensington-Cedar Cottage,49325,40,38.8,2.7,38411,28356,5.551434224,14.8,5.9,25.8,1292,1596,1202530,1214877,9.3
Kerrisdale,13975,42.9,45.6,2.5,77248,35064,17.92741583,22,7.5,34,1418,2276,2914946,2879632,2.4
Killarney,29325,42.4,43.4,2.7,39013,29259,5.595591352,17,5.4,23.4,1092,1424,947355,1097209,29.3
Kitsilano,43045,40.6,37.7,1.9,63092,44084,15.84,14.7,5.2,23.7,1224,1734,948172,1327707,6.3
Marpole,24460,41.9,42.2,2.2,39020,26787,6.111516922,24.7,7.2,30.9,1042,1624,1505217,1695892,11.1
Mount Pleasant,32955,38.3,35.5,1.8,54260,42362,11.45382083,15.7,4.7,25.4,1596,1734,600575,803459,9
Oakridge,13030,44.3,45.1,2.6,46515,26695,10.40994933,26.3,5.7,37.9,1207,2026,2490494,2414767,15.7
Renfrew-Collingwood,51530,41.2,40,2.7,33360,25476,3.263617559,17.6,5.8,28,1002,1391,1196033,1099509,13.9
Riley Park,22555,40.2,39.3,2.5,53060,37327,12.25543478,11.3,4.9,21.6,1227,1831,1599859,1695195,6.8
Shaughnessy,8430,43.8,45.7,2.8,118668,44392,23.46938776,15.5,4.7,30.4,1734,2536,3494588,3247312,0
South Cambie,7970,42.1,40.2,2.4,65459,42094,15.60509554,13,6.7,26.8,1237,1835,2000913,1907007,3.5
Strathcona,12585,47.3,48.3,1.7,31534,17631,4.997094712,49.7,8.5,26.8,1686,1677,799509,845567,61.3
Sunset,36500,39.8,38.7,3.1,34212,25498,3.729804056,16,5.2,29.2,1121,1669,1500134,1456880,8.4
Victoria-Fraserview,31065,43.7,44.3,3,34298,24758,3.816643714,17,6.5,23.6,833,1456,1499725,1441615,16.4
West End,47200,42.8,38.4,1.5,47253,36425,7.821737153,23.3,5.3,27.3,1119,1369,501546,670773,8
West Point Grey,13065,42.1,43.9,2.4,82042,40304,19.7243346,18.4,6.4,30.9,1319,2220,2906094,2830724,13.6
Vancouver CSD ,631485,41.6,39.9,2.2,50317,32896,9.889643463,18.8,5.6,27.8,1306,1714,1102843,1414191,13.7
Vancouver CMA ,2463430,41,40.9,2.5,46821,32575,8.60208805,16.5,5.8,25.4,1376,1622,800220,1005920,13.1
